debate_id	src_id	tgt_id	gold_label	pred_label	pred_score
node_link_data-debate-eval-0002	318e80cb-7ede-46ab-9cb7-54c7a657092a	338485df-176a-4bce-87c1-671cfb78895d	attack	attack	0.97802734375
node_link_data-debate-eval-0029	50965b3e-ff82-480f-89c0-bb7830088b02	bd46f165-7494-4d74-8772-2a52f7fc6948	attack	attack	0.990234375
node_link_data-debate-eval-0015	c62e801e-d9f3-490d-8b21-9f72df6afc8d	4534bab0-f9f3-4479-be61-8aed8c03a0f5	attack	attack	0.984375
node_link_data-debate-eval-0002	e06f476c-968e-4f6c-844d-642c6d009f41	9ba36d8f-431a-41dd-a79f-f3aa1830fa58	neutral	attack	0.65576171875
node_link_data-debate-eval-0044	6115bd62-2187-4fb7-8de9-f561c3a704b8	f46b5634-3a47-4fb4-8a81-3d72ee124a0f	support	attack	0.8134765625
node_link_data-debate-eval-0044	ee32d8cf-753c-4bd5-9b1d-a3dcf35300af	a76e9e03-307f-4213-a305-4e5882f2c752	neutral	attack	0.56201171875
node_link_data-debate-eval-0015	8995983e-d921-43de-8958-daf588fb15d1	8327707d-cd12-4551-a3bc-984b6b9b9508	neutral	attack	0.65283203125
node_link_data-debate-eval-0002	33a24237-7cb9-4d02-8450-77eda480410a	b3bec574-93b1-4f7a-a14b-64b580f96c8d	attack	attack	0.9873046875
node_link_data-debate-eval-0015	65177d85-7cdf-4354-b577-298c4b8bd728	50b2240e-f666-4544-8db2-63cd68110db5	neutral	attack	0.73974609375
node_link_data-debate-eval-0044	8fa4d481-53a5-43f2-a444-7c48aa0c3602	cd75bb55-d0a5-42b8-808c-ecac464e1360	attack	attack	0.97314453125
node_link_data-debate-eval-0002	656a27b5-340f-4d45-a190-d172603313d8	9c2dfb39-057b-4a31-8f50-8ae7c1cf1b0e	attack	attack	0.61865234375
node_link_data-debate-eval-0002	e41291fb-db43-4e31-898a-a2c2e09e8a6e	647825b5-03a6-460f-bff5-6cce2d281496	neutral	neutral	0.66259765625
node_link_data-debate-eval-0029	2989b452-82bf-45c1-8c47-29cf75846af4	c444e5a6-9332-40d0-9c33-f3c928e3f398	neutral	neutral	0.50341796875
node_link_data-debate-eval-0044	6b29551d-6607-4396-8e9c-32d398ad70a8	52f47a6c-760f-442d-bd84-cae660dc2972	attack	attack	0.97607421875
node_link_data-debate-eval-0044	a2c580e0-dcdd-46de-ac4f-4b1f6e8539db	89144ecd-5c5e-4c85-835a-d54253cc1166	attack	attack	0.99560546875
node_link_data-debate-eval-0002	c180f6d7-b8a4-4aa8-99d9-6ca15b449433	b3bec574-93b1-4f7a-a14b-64b580f96c8d	neutral	attack	0.75244140625
node_link_data-debate-eval-0015	2deb4e7c-11ff-40b0-bd4d-9dc3cef34b45	10a3001c-d9bd-454f-9b2e-ae45ffee1fae	neutral	attack	0.951171875
node_link_data-debate-eval-0044	80178b9f-517a-482f-8033-d2caaa01283d	41a4b593-0256-485c-b449-fab6ba6c3872	neutral	attack	0.85498046875
node_link_data-debate-eval-0044	8992ac7e-19ee-463b-b011-53efb85ad862	52f47a6c-760f-442d-bd84-cae660dc2972	support	neutral	0.8671875
node_link_data-debate-eval-0044	debabb44-0801-4187-82dd-9cc058d1e696	e30076f5-b9e2-46a7-9862-9b02024b4b83	neutral	neutral	0.82080078125
node_link_data-debate-eval-0044	9aa5c42d-1975-4ca3-8151-1103d1392d08	c65aa523-9e33-4fdc-862d-53d6a363fdb9	neutral	attack	0.97509765625
node_link_data-debate-eval-0029	ef79136f-5872-4177-b66f-2361d6a8f0e1	d35a4b43-6aeb-4596-8b5c-306ef588078e	neutral	attack	0.93212890625
node_link_data-debate-eval-0044	a94d38de-2c2d-4137-97eb-14d156e265e4	280838de-899d-4672-b0dc-757de8922d8a	neutral	neutral	0.97509765625
node_link_data-debate-eval-0044	5f2cdcca-dc01-43d3-a889-fa15a5582217	5f58c381-2588-48e8-9226-4f3997dadf90	neutral	neutral	0.60546875
node_link_data-debate-eval-0029	845e6fc7-9ce4-4d3d-a752-d4e3032bdbda	f7f3c7ee-14a0-4736-ac2b-b3ae0a7bd9c5	neutral	neutral	0.60400390625
